setting,tier,metric,improvement_pct
Continuous,HIGH,P99,27.00053313558658
Continuous,HIGH,P999,47.1131161781649
Continuous,HIGH,Write tput,26.127523093202136
Epoch,HIGH,P99,11.718705549136734
Epoch,HIGH,Write tput,38.06602945212056
Continuous,MID,P99,17.754086401875924
Continuous,MID,P999,4.508730969459995
Continuous,MID,Write tput,1.310212173712555
Epoch,MID,P99,-1.7679643348028098
Epoch,MID,Write tput,-9.085494761776891
Continuous,LOW,P99,-1.4414645762682439
Continuous,LOW,P999,-2.572553603666815
Continuous,LOW,Write tput,-2.9730353285954783
Epoch,LOW,P99,-0.49049829084181457
Epoch,LOW,Write tput,-1.198500353699028
